Formula,Volume,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,ave:boiling_point,ave:bulk_modulus,ave:density,ave:dipole_polarizability,ave:electron_negativity,ave:electron_affinity,ave:en_allen,ave:en_ghosh,ave:en_pauling,ave:first_ion_en,ave:fusion_enthalpy,ave:gs_bandgap,ave:gs_energy,ave:specific_heat,ave:thermal_conductivity,ave:vdw_radius,ave:vdw_radius_alvarez,ave:vdw_radius_mm3,ave:vdw_radius_uff,ave:sound_velocity
F6Hg2K2,96.39831336,158.8141685,190.4,22.28,59.3371019,386.352,33.6993637,3.5452,67.122,2.952,2.586143169,17.836,0.26010372,2.932,13.40931266,1.079,1.182,-1.28836563,0.924507505,21.67662,187.8,191.2,215,332.18,2377.54953
O3OsRb,62.88448404,164.3208522,199.4,21.266,64.73896,1306.314,103.1331979,5.5098,78.304,2.668,1.1938521,15.6074,0.2532791,2.668,10.6939016,12.14,0,-5.290882946,0.745711982,29.215948,195,203.8,221.2,354.68,1438.5
Cs2F6Sn2,114.2981642,166.2141685,197.2,27.52,61.7221323,749.926,39.9993637,2.5014,90.9,2.938,2.35745242,17.8176,0.2731187,2.938,12.701245,2.001,1.182,-1.981971285,0.838907505,20.61662,200.2,205.6,223.2,380.02,2631.605124
Br6Ge2Rb2,180.478661,171.5331849,226.2,28,79.56196,1011.94,20.94758774,3.243,84.726,2.342,2.36187932,12.7234,0.20360972,2.342,9.5035916,10.997,0.9508,-2.065690117,0.823944312,23.672,213.8,221.6,247,419.22,2820.567535
BaMoO3,67.40982958,159.9208522,210,18.08,56.2548,1413.114,93.58362451,3.4334,71.244,2.674,1.0551921,15.6002,0.24073416,2.674,10.6316488,9.052,0,-5.408001149,0.736111982,31.415948,188.2,199.6,218.4,345.1,1752.5
Br6Cs2Pb2,214.233609,182.9331849,231,31.76,115.9634904,792.06,10.66,4.5166,102.7,2.4,2.183826752,12.5016,0.21117938,2.294,9.350387,4.5438,0.8742,-1.846546417,0.767544312,14.272,220,233.2,256.8,427.62,2168.023128
NbO3Sr,66.9096555,159.9208522,208.6,17.3,45.704674,1388.514,94.15971934,2.9114,61.544,2.574,1.0697493,15.623,0.23206228,2.574,10.66157,7.618,0,-5.209302169,0.761311982,17.815948,184.6,198,217.8,346.12,1787.34641
Br6In2Rb2,187.6581344,177.3331849,228.6,28.42,87.99956,861.94,17.47858577,3.6404,90.58,2.296,2.17533692,12.322,0.19853788,2.296,9.0809776,4.2672,0.8742,-1.6758426,0.806344312,28.072,210.2,224.4,251,422.88,1983.567535
Ag2F6Rb2,85.88925576,158.8141685,190.8,23.5,50.0662419,740.206,48.5793637,3.0712,76.48,2.938,2.39829782,17.9254,0.2570463,2.938,12.8043516,2.851,1.182,-1.764582292,0.865707505,97.61662,191,202.4,216.2,347.08,2476.14953
Br6Ca2Cs2,192.242033,187.3331849,235.2,34.08,82.5390904,740.86,4.86,2.5566,127.08,2.134,2.11738812,11.5302,0.19867956,2.134,9.089693,5.297,0.8742,-1.510406408,0.866344312,47.272,225.8,233.6,258.2,409.66,2678.023128
AgCsF3,90.03176998,162.6141685,192.6,26.32,59.5537723,738.326,48.3993637,3.1394,92.92,2.932,2.39543902,17.8696,0.2669516,2.932,12.747707,2.831,1.182,-1.742840579,0.841907505,93.21662,199,207.8,220,355.14,2651.605124
Br3CuRb,140.8716465,169.7331849,222.8,26.7,77.74516,959.34,29.64,3.9704,86.14,2.32,2.36233692,12.5554,0.1959262,2.32,9.4689816,6.329,0.8742,-1.878613172,0.836544312,91.672,210.8,223.4,243.4,403.52,2454.567535
F6Mg2Rb2,69.22252252,162.0141685,193.8,24.24,33.3536019,515.806,37.5793637,1.3188,80.158,2.814,2.560543331,17.2446,0.2519318,2.814,12.8183526,2.287,1.182,-1.519958042,1.023307505,43.61662,183.4,202,216.2,344.54,2876.54953
