Formula,Volume,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,ave:boiling_point,ave:bulk_modulus,ave:density,ave:dipole_polarizability,ave:electron_negativity,ave:electron_affinity,ave:en_allen,ave:en_ghosh,ave:en_pauling,ave:first_ion_en,ave:fusion_enthalpy,ave:gs_bandgap,ave:gs_energy,ave:specific_heat,ave:thermal_conductivity,ave:vdw_radius,ave:vdw_radius_alvarez,ave:vdw_radius_mm3,ave:vdw_radius_uff,ave:sound_velocity
LaN3Re,62.60542137,120,214,16.65,73.426694,1972.44,114.0189297,5.9188,59.56,2.424,-0.716,13.52504925,0.24028968,2.424,11.402544,8.269,3.8622,-8.395779517,0.530768628,12.215498,184.8,209,218.8,349.12,1635.16
Br6Cs2Tl2,203.8799354,182.1331849,229.6,31.54,115.3994904,735.46,10.06,4.6166,103.62,2.258,2.18787812,12.83567801,0.21028658,2.294,9.0886998,4.4174,0.8742,-1.575276001,0.761344312,16.472,218.8,230.6,253.8,428.62,2079.623128
NaO3Tc,56.84900711,152.9208522,195.8,14.84,33.77879586,1315.334,87.80316529,3.1836,51.764,2.63,1.0962533,15.632,0.22827964,2.67,10.6546452,7.31,0,-5.17715366,0.940511982,38.215948,179.8,188.8,210.4,329.62,1909.523737
Cs3Ge3I9,227.6117669,171.2437549,239.4,32.14,117.2497724,1085.42,24.24758774,4.3972,108.846,2.156,2.17628968,11.5096,0.2004709,2.156,8.629423,12.462,0.7138,-1.997374652,0.701690962,19.4694,229.6,237.8,259.2,445.94,3488.984556
Cs2F6Pb2,115.6360401,168.8141685,197.4,27.92,79.4201323,643.926,37.5993637,3.3094,91.84,3.012,2.206387652,17.8536,0.2730905,2.906,12.715787,1.5258,1.182,-1.915567789,0.826307505,14.21662,197.2,209.2,226.2,378.12,2383.605124
AgBr3K,156.2326241,170.3331849,223.2,25.22,77.3357,905.54,21.76,4.1432,81.7,2.326,2.37884692,12.606,0.1938359,2.326,9.47165866,5.898,0.8742,-1.722401857,0.885544312,106.072,208.2,216.8,243.6,390.54,2400.567535
F3GeTl,95.34692245,142.0141685,193,16.42,66.8010419,1017.606,55.98695144,4.0994,20.446,3.114,2.36265622,19.76807801,0.27927304,3.15,13.2552048,8.3694,1.2586,-2.39657999,0.836307505,21.21662,169.6,182.8,203.2,374.38,2939.74953
Ba2Hf2O6,74.23809587,165.5208522,214,18.92,72.7628,1530.114,69.58362451,4.0514,78.544,2.502,0.9083921,15.2242,0.26047812,2.502,10.5781768,6.996,0,-5.229639462,0.715111982,8.215948,189.4,203.2,221.2,346.88,1116.5
F3NiRb,70.5082238,154.8141685,189.6,22.76,40.2312819,844.206,64.5793637,2.7516,76.2,2.934,2.36909782,17.9414,0.25704436,2.934,12.8170656,4.087,1.182,-2.320768494,0.906907505,29.81662,188.2,199.8,212,340.8,2950.14953
Cl3CrRb,124.5825634,164.0122904,218.2,23.846,48.76278,924.36,33.16,2.6784,94.398,2.392,2.398019,12.9714,0.20548006,2.392,9.9693056,6.558,1.4958,-3.164470566,0.613874576,30.40534,206.8,222.4,234.2,379.56,1571.6
AgCl3Rb,134.8472579,166.8122904,216.6,24.46,59.9372,832.36,21.16,3.3424,89.218,2.446,2.525219,13.2274,0.2086623,2.446,10.1312496,4.618,1.4958,-1.81640597,0.563674576,97.60534,207.8,224,237.8,382.06,903.6
F3MgTl,69.28383831,146.6141685,194.2,16.5,57.1360419,669.606,45.6793637,3.3824,26.738,2.974,2.538759331,18.93727801,0.265684,3.01,13.2045658,2.6774,1.182,-1.781826543,0.976907505,41.21662,162,187.2,203,349.2,2780.14953
O6Pb2Ti2,68.84871836,152.1208522,203.8,14.18,60.6128,1168.714,76.86362451,3.8674,35.432,2.838,0.963816732,16.644,0.24299994,2.732,11.01978,3.9168,0,-5.134926489,0.783911982,11.415948,173.8,191.2,211.8,359.44,1270.5
CaFeO3,53.45461157,152.3208522,201.8,15.8,28.784,1010.114,83.06362451,2.5742,49.73,2.63,0.9117781,16.1666,0.23367802,2.63,10.973942,4.602,0,-4.900837928,0.866711982,56.015948,178.2,191.2,210,336.22,1934.5
Cl3InPb,188.7146035,156.6122904,222.6,18.02,85.6736,1016.36,25.69858577,4.668,38.118,2.718,2.298983632,14.3346,0.22671,2.612,10.421176,3.533,1.4958,-2.329826567,0.522874576,23.40534,184,209.8,231.8,412.02,618.6
Cs2I6Sr2,271.7063705,186.8437549,248.4,36.16,120.2477724,796.22,19.43609483,3.8406,138.16,1.944,1.93934728,10.2886,0.1862547,1.944,8.188507,6.56,0.6372,-1.410729463,0.697490962,14.4694,237.2,248.8,270.4,433.16,3309.830966
F6Mn2Tl2,77.5931533,141.6141685,194.6,15.178,63.2626507,844.006,60.6793637,4.4768,25.92,3.022,2.630119984,19.47607801,0.26841208,3.058,13.1621228,3.5634,1.182,-3.277485131,0.867307505,10.77662,168.4,186,199.2,348,2889.74953
Br3RbSn,201.400073,176.5331849,229,28.54,88.77796,899.94,13.24,3.6404,85.32,2.332,2.33775032,12.5214,0.20130228,2.332,9.3924896,5.039,0.8742,-1.934691626,0.803944312,25.072,215,224.2,250,421.46,2240.567535
Ge2I6Rb2,221.8543389,167.4437549,237.6,29.32,107.762242,1087.3,24.42758774,4.329,92.406,2.162,2.17914848,11.5654,0.1905656,2.162,8.6860676,12.482,0.7138,-2.019116365,0.725490962,23.8694,221.6,232.4,255.4,437.88,3313.528962
Br6Ca2Rb2,188.520726,183.5331849,233.4,31.26,73.05156,742.74,5.04,2.4884,110.64,2.14,2.12024692,11.586,0.18877426,2.14,9.1463376,5.317,0.8742,-1.532148121,0.890144312,51.672,217.8,228.2,254.4,401.6,2502.567535
Br6Rb2Tl2,201.202998,178.3331849,227.8,28.72,105.91196,737.34,10.24,4.5484,87.18,2.264,2.19073692,12.89147801,0.20038128,2.3,9.1453444,4.4374,0.8742,-1.597017714,0.785144312,20.872,210.8,225.2,250,420.56,1904.167535
BaO3Zr,76.03223119,164.1208522,214.8,19.02,55.3096,1366.114,82.0875882,2.6906,80.944,2.508,0.9907921,15.4198,0.23945846,2.508,10.5399428,5.756,0,-4.947971306,0.742111982,8.215948,189.4,201,221.4,346.54,1274.5
F3PbRb,112.7928272,165.0141685,195.6,25.1,69.9326019,645.806,37.7793637,3.2412,75.4,3.018,2.209246452,17.9094,0.2631852,2.912,12.7724316,1.5458,1.182,-1.937309502,0.850107505,18.61662,189.2,203.8,222.4,370.06,2208.14953
CuF3Rb,70.58438955,155.6141685,189.2,22.86,41.2018019,811.206,56.5793637,2.7632,75.28,2.932,2.38489782,17.9074,0.25783732,2.932,12.8343816,3.311,1.182,-1.947634544,0.895307505,91.61662,188,199.4,212.8,354.02,2670.14953
F3RbV,75.83037174,156.8141685,196.2,23.11,38.6809019,973.206,60.5793637,2.1932,85.448,2.878,2.24289782,17.528,0.25306988,2.878,12.6383436,4.891,1.182,-2.999355718,0.915307505,17.81662,190.2,200.2,213.4,347,2868.14953
BaO3Sn,73.32445966,164.5208522,210.8,19.46,60.8068,944.714,59.18362451,2.8514,65.224,2.634,1.1280055,16.0162,0.25009112,2.634,10.6819468,2.986,0,-4.030989013,0.730311982,17.015948,188.2,199,222.4,371.9,1014.5
F3KZn,70.59579542,155.0141685,189,21.16,32.2947019,496.406,42.6993637,2.2626,68.1,2.882,2.605003539,17.627,0.25733408,2.882,13.20065246,2.0336,1.182,-1.4863445,0.974507505,44.01662,183.4,190,210.2,333.34,2836.14953
Ba2O6Pb2,83.49185829,167.1208522,211,19.86,78.5048,838.714,56.78362451,3.6594,66.164,2.708,0.976940732,16.0522,0.25006292,2.602,10.6964888,2.5108,0,-3.964585517,0.717711982,10.615948,185.2,202.6,225.4,370,766.5
Br6Cs2Sr2,218.9143115,190.9331849,237,34.84,92.0474904,720.86,15.95609483,2.7546,130.48,2.124,2.12207812,11.4466,0.19929882,2.124,9.006031,5.075,0.8742,-1.457303215,0.795944312,14.272,229.4,238,262,414.5,2816.869539
Cd2F6K2,88.7117128,158.2141685,192.2,21.94,41.7015019,468.006,37.0993637,2.566,70.27,2.89,2.651094331,17.547,0.25638504,2.89,13.12057666,1.862,1.182,-1.400779362,0.943307505,39.41662,186.8,192,214.4,335.04,2558.14953
Cl6Cs2Sr2,187.8481456,184.8122904,229.2,31.96,65.3750904,664.88,15.47609483,1.8186,132.358,2.244,2.2715602,12.1006,0.21282594,2.244,9.698329,3.824,1.4958,-1.578148265,0.552674576,14.20534,223.4,235.6,253,399.98,1459.902004
Br3InSn,209.1771199,160.1331849,230.2,20.5,94.648,1178.34,28.57858577,4.796,35.3,2.524,2.30056632,13.6446,0.21321108,2.524,9.714336,5.2592,0.8742,-2.275385013,0.778744312,29.872,193,208.6,237.8,428.44,2223.567535
CuF3K,67.19447744,153.0141685,188,20.74,31.9279019,828.406,56.6993637,2.628,69.64,2.932,2.38800782,17.94,0.25653804,2.932,12.86708866,3.34,1.182,-1.974475481,0.973907505,100.01662,182.4,189.8,209.6,347.98,2810.14953
F6In2Mn2,77.73399964,140.6141685,195.4,14.878,45.3502507,968.606,67.91794947,3.5688,29.32,3.054,2.614719984,18.9066,0.26656868,3.054,13.097756,3.3932,1.182,-3.356310017,0.888507505,17.97662,167.8,185.2,200.2,350.32,2969.14953
CaF3Rb,92.31264109,169.4141685,199.8,27.42,36.5082019,594.606,31.9793637,1.2812,99.78,2.752,2.14280782,16.938,0.25068538,2.752,12.5117376,2.299,1.182,-1.601169493,0.948907505,51.61662,195,204.2,223.8,352.1,2718.14953
MoNaO3,59.08637036,153.5208522,196.4,15.02,33.38735386,1262.334,92.92362451,2.9276,50.184,2.682,1.1358533,15.586,0.22764124,2.682,10.6171312,8.148,0,-5.275344974,0.942111982,55.815948,180,189,211,330.7,2068.5
KO3W,62.17869365,162.9208522,200,19.366,54.18706,1449.514,108.2836245,4.7206,76.264,2.7,1.1402141,15.418,0.250193,2.568,10.61176866,11.061,0,-5.66534321,0.824711982,54.015948,189.8,196,218.8,348.16,1625.3
F3TlZn,72.59770851,142.2141685,190.6,15.54,65.3510419,633.006,50.6793637,4.4614,20.32,3.042,2.580109539,19.28707801,0.27238556,3.078,13.5541586,2.395,1.182,-1.721372064,0.849507505,33.21662,167.6,184.8,200.2,344.04,2599.74953
